|   INFO | state_out_work:67 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.00025030720280483365, "x": 0.0005184710607863963, "z": -0.06869390606880188}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.2428415, "x": 41.7154464, "z": 0.05}, "velocity": {"y": 0.0, "x": 0.0, "z": -0.01}, "heading": 356, "mode": "GUIDED"}, "type": "state", "uavid": "drone0", "sendtimestamp": 1519577961696} |
|   INFO | state_out_work:67 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 4.1609608160797507e-05, "x": 0.00030100010917522013, "z": -0.06927131861448288}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.2423039, "x": 41.7148672, "z": 0.08}, "velocity": {"y": 0.0, "x": 0.0, "z": -0.05}, "heading": 356, "mode": "STABILIZE"}, "type": "state", "uavid": "drone1", "sendtimestamp": 1519577961696} |
|   INFO | state_out_work:67 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": -4.2116211261600256e-05, "x": 0.0001487688859924674, "z": -0.06976120918989182}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.2427136, "x": 41.7156255, "z": -0.09}, "velocity": {"y": 0.0, "x": 0.0, "z": 0.01}, "heading": 356, "mode": "STABILIZE"}, "type": "state", "uavid": "drone2", "sendtimestamp": 1519577961696} |
|   INFO | state_out_work:67 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.00027519394643604755, "x": 0.0005546361207962036, "z": -0.0685393214225769}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.2428415, "x": 41.7154464, "z": 0.04}, "velocity": {"y": 0.0, "x": 0.0, "z": -0.01}, "heading": 356, "mode": "GUIDED"}, "type": "state", "uavid": "drone0", "sendtimestamp": 1519577962698} |
|   INFO | state_out_work:67 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 8.765832899371162e-05, "x": 0.0003316761867608875, "z": -0.06917320936918259}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.2423039, "x": 41.7148672, "z": 0.09}, "velocity": {"y": 0.0, "x": 0.0, "z": -0.04}, "heading": 356, "mode": "STABILIZE"}, "type": "state", "uavid": "drone1", "sendtimestamp": 1519577962698} |
|   INFO | state_out_work:67 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": -2.6052771318063606e-06, "x": 0.00014900238602422178, "z": -0.0696403831243515}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.2427136, "x": 41.7156255, "z": 0.04}, "velocity": {"y": 0.0, "x": 0.0, "z": -0.08}, "heading": 356, "mode": "STABILIZE"}, "type": "state", "uavid": "drone2", "sendtimestamp": 1519577962698} |
|   INFO | state_out_work:67 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.0003003397723659873, "x": 0.0005686987424269319, "z": -0.06840648502111435}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.2428415, "x": 41.7154464, "z": 0.04}, "velocity": {"y": 0.0, "x": 0.0, "z": -0.01}, "heading": 356, "mode": "GUIDED"}, "type": "state", "uavid": "drone0", "sendtimestamp": 1519577963700} |
|   INFO | state_out_work:67 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.00012523468467406929, "x": 0.0003524675848893821, "z": -0.06907831132411957}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.2423039, "x": 41.7148672, "z": 0.08}, "velocity": {"y": 0.0, "x": 0.0, "z": -0.03}, "heading": 356, "mode": "STABILIZE"}, "type": "state", "uavid": "drone1", "sendtimestamp": 1519577963700} |
|   INFO | state_out_work:67 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": -1.0202326848229859e-05, "x": 0.00014130424824543297, "z": -0.06959255784749985}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.2427136, "x": 41.7156255, "z": 0.11}, "velocity": {"y": 0.0, "x": 0.0, "z": -0.12}, "heading": 356, "mode": "STABILIZE"}, "type": "state", "uavid": "drone2", "sendtimestamp": 1519577963700} |
|   INFO | state_out_work:67 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.00035952971666119993, "x": 0.0006035599508322775, "z": -0.0682961717247963}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.2428415, "x": 41.7154464, "z": 0.04}, "velocity": {"y": 0.0, "x": 0.0, "z": 0.0}, "heading": 356, "mode": "GUIDED"}, "type": "state", "uavid": "drone0", "sendtimestamp": 1519577964702} |
