41.71480,-86.24325
41.71493,-86.24322
41.71498,-86.24318
41.71502,-86.24313
41.71505,-86.24300
41.71502,-86.24287
41.71498,-86.24282
41.71493,-86.24277
41.71480,-86.24275
41.71480,-86.24225
41.71480,-86.24175
41.71480,-86.24125
41.71480,-86.24075

41.71480,-86.24307
41.71484,-86.24306
41.71485,-86.24305
41.71486,-86.24304
41.71487,-86.24300
41.71486,-86.24297
41.71485,-86.24295
41.71484,-86.24294
41.71480,-86.24293
41.71480,-86.24257
41.71476,-86.24256
41.71475,-86.24255
41.71474,-86.24254
41.71473,-86.24250
41.71474,-86.24247
41.71475,-86.24245
41.71476,-86.24244
41.71480,-86.24243

41.71480,-86.24207
41.71484,-86.24206
41.71485,-86.24205
41.71486,-86.24204
41.71487,-86.24200
41.71486,-86.24197
41.71485,-86.24195
41.71484,-86.24194
41.71480,-86.24193
